id,price,baths,rooms,sqm,description,location,size_raw,url,title,description_source,scraped_at
1550886,47000000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,10 marla,https://www.graana.com/property/listing-1550886/,10 Marla House for Sale,enriched,2026-08-18T02:49:04+0500
1550758,72500000,5,5,125,G-9/4 Brand New House Available For Sale,G-9/4,6 marla,https://www.graana.com/property/listing-1550758/,6 Marla House for Sale,graana,2026-08-18T02:49:07+0500
1550073,4200000,3,3,105,thanda pani best place . best structure,Thanda Pani,5 marla,https://www.graana.com/property/listing-1550073/,5 Marla house for sale,graana,2026-08-18T02:49:11+0500
1549980,71500000,8,7,209,"Description Presenting an extra lavish 10 Marla designer house in the prestigious Bahria Enclave Sector A. Built with exceptional craftsmanship, premium finishes, and a modern architectural design, this magnificent home offers the perfect combination of luxury, comfort, and elegance. Spread across Ground Floor + Mezzanine Floor + 1st Floor, this spacious residence is ideal for large families seeking an upscale lifestyle. Every corner of the home has been thoughtfully designed to maximize space, natural light, and functionality. Property Features: Prime Location in Bahria Enclave Sector A 10 Marla Extra Lavish House Ground Floor + Mezzanine Floor + 1st Floor 7 Spacious Bedrooms Attached Modern Bathrooms Elegant Drawing Room Separate Dining Area Spacious TV Lounges Dual Modern Kitchens Spacious Car Porch Premium Tile Flooring Stylish False Ceilings Modern LED Lighting High-Quality Woodwork Imported Fixtures Excellent Ventilation Natural Light Secure, Peaceful Family-Friendly Community Close to Schools, Parks, Mosques, Restaurants Commercial Areas Ideal for Luxury Living and Long-Term Investment This stunning property is located in one of the most desirable sectors of Bahria Enclave, offering easy access to all essential amenities while providing a peaceful and secure environment for your family. Demand Price: 7.15 Crore Contact us today for more information or to schedule a private viewing. Don't miss this rare opportunity to own a luxury home in Bahria Enclave Sector A! BahriaEnclave SectorA 10MarlaHouse LuxuryHouse DesignerHome 7Bedrooms DualKitchen MezzanineFloor HouseForSale LuxuryLiving RealEstatePakistan PropertyForSale DreamHome InvestmentOpportunity IslamabadRealEstate","Bahria Enclave, Sector A",10 marla,https://www.graana.com/property/listing-1549980/,10 Marla house for sale Bahria Enclave  Sector A Bahria Enclave Bahria Town Islamabad Islamabad Capital,graana,2026-08-18T02:49:15+0500
1549979,70000000,6,6,293,C BLOCK 40x80 BRAND NEW HOUSE 3SIDE CORNER DOUBLE STORY SOLLAR INSTALLED WATER BORED NEAR TO PARK NEAR TO MINI COMMERCIAL NEAR TO 🕌 MOSQUE DEMAND 7Cr,B-17,14 marla,https://www.graana.com/property/listing-1549979/,14 Marla House for Sale,graana,2026-08-18T02:49:19+0500
1549711,260000000,5,4,427,F-10/4 beautiful House For sale 5bedrooms A/bathroom Drawing Dinning TV Lounge Kitchen Servant Qautar Eexllent location Reasonable price,F-10,511 sqyd,https://www.graana.com/property/listing-1549711/,F-10 511sqyds House For sale ,graana,2026-08-18T02:49:23+0500
1549699,28800000,4,4,105,Baylee town in town secure 🔐,Kuri Road,5 marla,https://www.graana.com/property/listing-1549699/,5 Marla House for Sale,graana,2026-08-18T02:49:27+0500
1549489,270000000,10,10,502,"600 Yd² House for Sale, 10 bedrooms, 10 bathrooms, located in I-8/2, Islamabad Condition: Brand new. Amenities: balcony, 3 kitchens, parking, basement, 3 TV lounges, 3 store rooms, study room, 3 dining rooms, drawing room, 3 laundry rooms, 2 servant quarters, lawn. Utilities: gas, electricity, water supply. Communication: internet access, cable TV. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",I-8/2,600 sqyd,https://www.graana.com/property/listing-1549489/,600 Yd² House for Sale,enriched,2026-08-18T02:49:31+0500
1549377,55000000,5,5,105,Size: 2550 (5 Marla) KEY FEATURES: 5 Spacious Bedrooms 5 Modern Bathrooms 2 Fully Functional Kitchens 2 Drawing Rooms (Ideal for guests) Solid Construction Excellent Layout PERFECT FOR: Comfortable Family Living Safe Investment in Prime FGHA Sector,G-14,5 marla,https://www.graana.com/property/listing-1549377/,DOUBLE STOREY HOUSE  G144 For Sale   Central Islamabad  CDA Sector,graana,2026-08-18T02:49:36+0500
1548677,33000000,4,4,146,"🏡 𝟴 𝗠𝗮𝗿𝗹𝗮 *Modern Designer* *Double** 𝗦𝘁𝗼𝗿𝘆 𝗛𝗼𝘂𝘀𝗲 𝗙𝗼𝗿 𝗦𝗮𝗹𝗲 – 𝗕-𝟭𝟳 𝗜𝘀𝗹𝗮𝗺𝗮𝗯𝗮𝗱 📍 𝗟𝗼𝗰𝗮𝘁𝗶𝗼𝗻: 𝗕-𝟭𝟳 𝗕𝗹𝗼𝗰𝗸- *E* 𝗜𝘀𝗹𝗮𝗺𝗮𝗯𝗮𝗱 (𝗕𝗲𝗮𝘂𝘁𝗶𝗳𝘂𝗹 & 𝗣𝗲𝗮𝗰𝗲𝗳𝘂𝗹 𝗟𝗼𝗰𝗮𝘁𝗶𝗼𝗻) 📐 𝗣𝗹𝗼𝘁 𝗦𝗶𝘇𝗲: 𝟴 𝗠𝗮𝗿𝗹𝗮 *with 50feet wide Road* ✨ 𝗛𝗼𝘂𝘀𝗲 𝗙𝗲𝗮𝘁𝘂𝗿𝗲𝘀: 🛏 4𝗕𝗲𝗱𝗿𝗼𝗼𝗺𝘀 🛋 2 𝗗𝗿𝗮𝘄𝗶𝗻𝗴 𝗥𝗼𝗼𝗺 📺 𝗧𝗩 𝗟𝗼𝘂𝗻𝗴𝗲 🍽 *2𝗞𝗶𝘁𝗰𝗵𝗲𝗻s* 🚗 𝗣𝗮𝗿𝗸𝗶𝗻𝗴 𝗦𝗽𝗮𝗰𝗲 𝗳𝗼𝗿 𝟮 𝗖𝗮𝗿𝘀 🌿 𝗦𝗺𝗮𝗹𝗹 𝗟𝗮𝘄𝗻 💧 𝗪𝗮𝘁𝗲𝗿 𝗕𝗼𝗿𝗲 𝗔𝘃𝗮𝗶𝗹𝗮𝗯𝗹𝗲 **. *Original video Attached.* 💰 𝗗𝗲𝗺𝗮𝗻𝗱: 330 Lac. ( *Adjacent House sold in 320Lac)* *Note: 🗝️🔑 are in Office, visit possible, whenever you want..* 📞 𝗖𝗼𝗻𝘁𝗮𝗰𝘁: 𝟬𝟯𝟭𝟯𝟱𝟲𝟬𝟱𝟰𝟮𝟮","Multi Gardens, B-17, Block-E",7 marla,https://www.graana.com/property/listing-1548677/,House for sale,graana,2026-08-18T02:49:39+0500
1548668,145000000,7,6,297,Margala hills views greenery easy excess to all areas of islamabad super markets and resturaare nearby parks are nearby high construction quality low mentinance design,D-12/1,14.2 marla,https://www.graana.com/property/listing-1548668/,14.2 Marla house for sale,graana,2026-08-18T02:49:43+0500
1547660,31000000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1547660/,5 Marla House for Sale,enriched,2026-08-18T02:49:48+0500
1547657,29500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1547657/,5 Marla House for Sale,enriched,2026-08-18T02:49:52+0500
1547226,40000000,3,3,73,"3.5 Marla House for Sale, 3 bedrooms, 3 bathrooms, located in F-10/3, Islamabad Condition: Good - in a good shape, needs cosmetic updates. Amenities: kitchen, parking, TV lounge, drawing room. Utilities: gas, sewerage, electricity, water supply. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",F-10/3,3.5 marla,https://www.graana.com/property/listing-1547226/,3.5 Marla House for Sale,enriched,2026-08-18T02:49:57+0500
1547218,59808000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1547218/,10 Marla House for Sale,enriched,2026-08-18T02:50:01+0500
1547209,30000000,4,4,105,".The house has got a big plus point as the approach is extremely easy from both sides, it is located at the crossing of 50/60 feet side roads, facing 40/80 plot houses.Built for own self in 2014 with sturdy structure The house is not only a spacious living home but a heavenly place with numerous fruit bearing trees such as, juicy Grapes,Guava, Pomegranate ,Dates, Persimmon(Japanese fruit) Lemon, a rare Naranji, Lichyee, and Orange alongwith an eye catching Bougenvilla vine which stuns the onlookers when in bloom.Being corner house the extra almost 3 Marla space is artistically decorated with Rockery and raised beds for seasonal flowers, sitting stools and ornamental plants as well. So One can confidently say that fruits are available round the year Alhamdolilah .The owner has put his professional potential by creating space n ease with maximum utilisation of the facility, walls are nicely painted with contrast to give a soothing effect. Other fittings and fixtures are of ace quality and by putting high standard wiring cables ,the safety is not compromised.Surely it is once in a lifetime opportunity to avail in scenic Naval Anchorage.",Naval Anchorage- Block G,5 marla,https://www.graana.com/property/listing-1547209/,5 Marla house for sale,graana,2026-08-18T02:50:05+0500
1547207,29700000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1547207/,5 Marla House for Sale,enriched,2026-08-18T02:50:10+0500
1547195,19000000,3,3,209,House has Structure Basement but Ground floor finished for living. Servant Quarter on roof.,Bhara Kahu,10 marla,https://www.graana.com/property/listing-1547195/,10 Marla house for sale,graana,2026-08-18T02:50:14+0500
1547186,150000000,5,7,293,"On main double road , easy to access",G-9/1,14 marla,https://www.graana.com/property/listing-1547186/,14 Marla house for sale,graana,2026-08-18T02:50:18+0500
1547142,58500000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1547142/,10 Marla House for Sale,enriched,2026-08-18T02:50:22+0500
1547141,27500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1547141/,5 Marla House for Sale,enriched,2026-08-18T02:50:30+0500
1547139,31500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1547139/,5 Marla House for Sale,enriched,2026-08-18T02:50:35+0500
1547131,26500000,5,5,178,"8.5 Marla structure for sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,8.5 marla,https://www.graana.com/property/listing-1547131/,8.5 Marla structure for sale,enriched,2026-08-18T02:50:39+0500
1547028,67000000,8,6,251,"12 Marla House for Sale, 6 bedrooms, 8 bathrooms, located in Media Town, Islamabad",Media Town,12 marla,https://www.graana.com/property/listing-1547028/,12 Marla House for Sale,synthesized,2026-08-18T02:50:44+0500
1547025,62500000,8,6,251,"12 Marla House for Sale, 6 bedrooms, 8 bathrooms, located in Media Town, Islamabad",Media Town,12 marla,https://www.graana.com/property/listing-1547025/,12 Marla House for Sale,synthesized,2026-08-18T02:50:48+0500
1547019,60000000,8,6,251,"12 Marla House for Sale, 6 bedrooms, 8 bathrooms, located in Media Town, Islamabad",Media Town,12 marla,https://www.graana.com/property/listing-1547019/,12 Marla House for Sale,synthesized,2026-08-18T02:50:53+0500
1547012,72500000,8,6,251,"12 Marla House for Sale, 6 bedrooms, 8 bathrooms, located in Media Town, Islamabad",Media Town,12 marla,https://www.graana.com/property/listing-1547012/,12 Marla House for Sale,synthesized,2026-08-18T02:50:58+0500
1546502,29500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1546502/,5 Marla House for Sale,enriched,2026-08-18T02:51:02+0500
1546385,63500000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Good - in a good shape, needs cosmetic updates.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1546385/,10 Marla House for Sale,enriched,2026-08-18T02:51:07+0500
1546366,56000000,10,10,209,"10 Marla House for Sale, 10 bedrooms, 10 bathrooms, located in H-13, Islamabad Condition: Good - in a good shape, needs cosmetic updates. Amenities: kitchen, parking, TV lounge, store room, drawing room, laundry room, servant quarter. Utilities: gas, sewerage, electricity, water supply. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",H-13,10 marla,https://www.graana.com/property/listing-1546366/,10 Marla House for Sale,enriched,2026-08-18T02:51:11+0500
1546359,130000000,6,6,293,"14 Marla House for Sale, 6 bedrooms, 6 bathrooms, located in G-10/4, Islamabad Condition: Good - in a good shape, needs cosmetic updates. Amenities: kitchen, parking, TV lounge, store room, drawing room, laundry room, servant quarter. Utilities: gas, sewerage, electricity, water supply. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",G-10/4,14 marla,https://www.graana.com/property/listing-1546359/,14 Marla House for Sale,enriched,2026-08-18T02:51:16+0500
1546339,33000000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Good - in a good shape, needs cosmetic updates.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1546339/,5 Marla House for Sale,enriched,2026-08-18T02:51:20+0500
1546214,42000000,4,3,84,"4 Marla House for Sale, 3 bedrooms, 4 bathrooms, located in G-14/4, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, drawing room, laundry room. Utilities: gas, electricity, water supply. Communication: internet access, cable TV. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",G-14/4,4 marla,https://www.graana.com/property/listing-1546214/,4 Marla House for Sale,enriched,2026-08-18T02:51:25+0500
1545954,28500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1545954/,5 Marla House for Sale,enriched,2026-08-18T02:51:30+0500
1545946,58500000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1545946/,10 Marla House for Sale,enriched,2026-08-18T02:51:34+0500
1545902,17500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,5 marla,https://www.graana.com/property/listing-1545902/,5 Marla House for Sale,enriched,2026-08-18T02:51:39+0500
1545901,19500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,5 marla,https://www.graana.com/property/listing-1545901/,5 Marla House for Sale,enriched,2026-08-18T02:51:43+0500
1545900,18500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,5 marla,https://www.graana.com/property/listing-1545900/,5 Marla House for Sale,enriched,2026-08-18T02:51:48+0500
1545898,32000000,3,3,146,"7 Marla House for Sale, 3 bedrooms, 3 bathrooms, located in Jinnah Garden, Islamabad",Jinnah Garden,7 marla,https://www.graana.com/property/listing-1545898/,7 Marla House for Sale,synthesized,2026-08-18T02:51:54+0500
1545897,18000000,3,3,105,"5 Marla House for Sale, 3 bedrooms, 3 bathrooms, located in Jinnah Garden, Islamabad",Jinnah Garden,5 marla,https://www.graana.com/property/listing-1545897/,5 Marla House for Sale,synthesized,2026-08-18T02:51:58+0500
1545895,18000000,3,3,105,"5 Marla House for Sale, 3 bedrooms, 3 bathrooms, located in Jinnah Garden, Islamabad",Jinnah Garden,5 marla,https://www.graana.com/property/listing-1545895/,5 Marla House for Sale,synthesized,2026-08-18T02:52:03+0500
1545894,32500000,5,4,146,"7 Marla House for Sale, 4 bedrooms, 5 bathrooms, located in Jinnah Garden, Islamabad Condition: Brand new.",Jinnah Garden,7 marla,https://www.graana.com/property/listing-1545894/,7 Marla House for Sale,enriched,2026-08-18T02:52:08+0500
1545891,58500000,6,6,209,"10 Marla House for Sale, 6 bedrooms, 6 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1545891/,10 Marla House for Sale,enriched,2026-08-18T02:52:12+0500
1545866,100000000,8,8,146,"FOR SALE ( D-12) Islamabad 🏠Brand New HOUSE FOR SALE* Size, 30x60 Basement plus Double Unit House, 9 Beds,9 Baths, 4 Kitchens, 3 Drawings, 3 TV Lounges. 2 Servants Quarter with Bath Car porch, solar system Electric meter installed. Own water Bore Demand : 10 Crore 0315 5818420 what's app 0321 5818420 Part 11",D-12,7 marla,https://www.graana.com/property/listing-1545866/,7 Marla House for Sale,graana,2026-08-18T02:52:16+0500
1545865,155000000,10,10,418,🏡 E-11 Islamabad 03-Storey House For Sale – Basement ➕ Duble Story house Size 50*90 Property Details: • 11 Spacious Bedrooms 11 Modern Washrooms (All newly built) 3 Independent Portions Brand New Kitchens on all floors Brand New Sanitary & Electrical System 2 Servant Quarters Solar Power 3 Electricity Meters 3 Gas Meters Ready for immediate possession Demand : 15 crore 50 lakh contact📞 0321.5818420,E-11,1 kanal,https://www.graana.com/property/listing-1545865/,1 Kanal House for Sale,graana,2026-08-18T02:52:20+0500
1545863,150000000,8,8,251,CDA SECTOR D-12 ISLAMABAD Duble story Brand new corner house Available For Sale Size : 40*80 Very beautiful and charming view Electricity water available Demand : 15 crore Contact📞 0321.5818420 What's app 0315.5818420 NOTE : Cash only no adjustment,D-12,12 marla,https://www.graana.com/property/listing-1545863/,12 Marla House for Sale,graana,2026-08-18T02:52:24+0500
1545851,36500000,6,4,146,"7 Marla Brand New House For Sale JINNAH GARDEN PHASE 1 ISLAMABAD 03440507633 03335176996 A Perfect Blend of Luxury Comfort Step into a beautifully designed modern home built for elegant family living. From the stylish exterior to the premium finishing, every detail reflects class and sophistication. Spacious Living Areas Wide Car Porch Modern Ceiling Lighting Design Peaceful Family Environment Premium Construction Elegant ElevationYour dream home is waiting for you schedule your visit today!",Jinnah Garden,7 marla,https://www.graana.com/property/listing-1545851/,7 Marla house for sale,graana,2026-08-18T02:52:27+0500
1545813,105000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 3, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, dining room, drawing room, servant quarter.",Bahria Town Phase 3,1 kanal,https://www.graana.com/property/listing-1545813/,1 Kanal House for Sale,enriched,2026-08-18T02:52:33+0500
1545812,41000000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Town Phase 3, Islamabad Condition: Excellent - in a good shape & well maintained. Amenities: 2 kitchens, parking, 2 TV lounges, drawing room, servant quarter.",Bahria Town Phase 3,10 marla,https://www.graana.com/property/listing-1545812/,10 Marla House for Sale,enriched,2026-08-18T02:52:37+0500
1545811,100000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 6, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, dining room, drawing room, servant quarter.",Bahria Town Phase 6,1 kanal,https://www.graana.com/property/listing-1545811/,1 Kanal House for Sale,enriched,2026-08-18T02:52:42+0500
1545810,62500000,6,5,209,"10 Marla House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 4, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, drawing room, servant quarter.",Bahria Town Phase 4,10 marla,https://www.graana.com/property/listing-1545810/,10 Marla House for Sale,enriched,2026-08-18T02:52:50+0500
1545809,110000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 3, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room, servant quarter.",Bahria Town Phase 3,1 kanal,https://www.graana.com/property/listing-1545809/,1 Kanal House for Sale,enriched,2026-08-18T02:52:54+0500
1545808,46000000,6,5,209,"10 Marla House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 3, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, drawing room.",Bahria Town Phase 3,10 marla,https://www.graana.com/property/listing-1545808/,10 Marla House for Sale,enriched,2026-08-18T02:52:59+0500
1545786,28500000,6,6,293,"14 Marla House for Sale, 6 bedrooms, 6 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,14 marla,https://www.graana.com/property/listing-1545786/,14 Marla House for Sale,enriched,2026-08-18T02:53:03+0500
1545785,18500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,5 marla,https://www.graana.com/property/listing-1545785/,5 Marla House for Sale,enriched,2026-08-18T02:53:08+0500
1545772,125000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room, servant quarter.",Bahria Town Phase 2,1 kanal,https://www.graana.com/property/listing-1545772/,1 Kanal House for Sale,enriched,2026-08-18T02:53:12+0500
1545770,16500000,4,4,136,"6.5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,6.5 marla,https://www.graana.com/property/listing-1545770/,6.5 Marla House for Sale,enriched,2026-08-18T02:53:18+0500
1545769,105000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room, servant quarter.",Bahria Town Phase 2,1 kanal,https://www.graana.com/property/listing-1545769/,1 Kanal House for Sale,enriched,2026-08-18T02:53:23+0500
1545768,18500000,4,4,115,"5.5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bani Gala, Islamabad Condition: Excellent - in a good shape & well maintained.",Bani Gala,5.5 marla,https://www.graana.com/property/listing-1545768/,5.5 Marla House for Sale,enriched,2026-08-18T02:53:27+0500
1545767,149000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room, servant quarter.",Bahria Town Phase 2,1 kanal,https://www.graana.com/property/listing-1545767/,1 Kanal House for Sale,enriched,2026-08-18T02:53:31+0500
1545765,148000000,6,5,418,"1 Kanal House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room, servant quarter.",Bahria Town Phase 2,1 kanal,https://www.graana.com/property/listing-1545765/,1 Kanal House for Sale,enriched,2026-08-18T02:53:35+0500
1545764,105000000,5,5,418,"1 Kanal House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, store room, dining room, drawing room.",Bahria Town Phase 2,1 kanal,https://www.graana.com/property/listing-1545764/,1 Kanal House for Sale,enriched,2026-08-18T02:53:40+0500
1545763,51000000,6,5,209,"10 Marla House for Sale, 5 bedrooms, 6 bathrooms, located in Bahria Town Phase 2, Islamabad Condition: Brand new. Amenities: 2 kitchens, parking, 2 TV lounges, drawing room.",Bahria Town Phase 2,10 marla,https://www.graana.com/property/listing-1545763/,10 Marla House for Sale,enriched,2026-08-18T02:53:47+0500
